,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,ballots_number_lost,ballots_number_not_counted,number_absentee_ballots_lost,number_absentee_ballots_not_taken,bogdanov_andrey_vladimirovich_number,bogdanov_andrey_vladimirovich_percent,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,medvedev_dmitry_anatolyevich_number,medvedev_dmitry_anatolyevich_percent,link
0,"
02.03.2008
",Камчатский край,Алеутская,554,545,4,373,29,139,33,373,7,399,30,4,1,26,0,0,0,0,0,10,2.46,54,13.3,23,5.67,312,76.85,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
1,"
02.03.2008
",Камчатский край,Быстринская,2237,2000,256,1285,69,390,325,1285,19,1591,46,25,18,21,4,0,0,0,0,24,1.49,224,13.91,187,11.61,1156,71.8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
2,"
02.03.2008
",Камчатский край,Вилючинская ,18419,17810,0,11976,218,5616,218,11971,157,12032,315,228,187,87,324,0,0,0,0,121,0.99,1600,13.13,1229,10.08,9082,74.51,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
3,"
02.03.2008
",Камчатский край,Елизовская,49988,44965,28,29039,1027,14871,1055,29020,422,29653,330,235,213,95,39,0,0,0,0,417,1.39,4010,13.33,4818,16.02,20408,67.86,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
4,"
02.03.2008
",Камчатский край,Мильковская,8147,8700,34,4617,245,3804,277,4575,54,4798,110,53,34,57,11,0,0,0,0,65,1.34,498,10.26,666,13.73,3569,73.56,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
5,"
02.03.2008
",Камчатский край,Петропавловск-Камчатская городская,140811,133186,260,71589,2298,59039,2557,71492,1017,73032,659,478,450,181,73,0,0,0,0,1307,1.77,9485,12.81,12472,16.84,49768,67.21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
6,"
02.03.2008
",Камчатский край,Петропавловск-Камчатская городская (судовая),6131,6381,0,6077,0,304,0,6070,72,5998,0,0,0,0,0,0,0,0,0,122,2.01,1120,18.45,430,7.08,4326,71.27,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
7,"
02.03.2008
",Камчатский край,Соболевская,1918,2179,16,1207,77,879,93,1207,14,1286,60,30,9,30,5,0,0,0,0,22,1.69,171,13.15,188,14.46,905,69.62,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
8,"
02.03.2008
",Камчатский край,Усть-Большерецкая,6713,6700,3,3281,175,3241,178,3281,49,3410,145,36,23,109,7,0,0,0,0,45,1.3,529,15.29,498,14.4,2338,67.59,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
9,"
02.03.2008
",Камчатский край,Усть-Камчатская,10081,10214,281,7226,861,1846,1139,7195,116,8218,196,81,29,115,4,0,0,0,0,59,0.71,840,10.08,949,11.39,6370,76.43,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
10,"
02.03.2008
",Камчатский край,Карагинская,3818,4310,0,2216,106,1988,106,2216,24,2298,100,5,6,95,8,0,0,0,0,32,1.38,323,13.91,297,12.79,1646,70.89,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
11,"
02.03.2008
",Камчатский край,Олюторская,3725,4677,188,2539,107,1843,295,2538,25,2808,104,0,5,104,6,0,0,0,0,35,1.24,315,11.12,306,10.8,2152,75.96,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
12,"
02.03.2008
",Камчатский край,Пенжинская,1701,1840,26,1321,44,449,70,1321,15,1376,74,11,6,63,6,0,0,0,0,4,0.29,145,10.42,151,10.86,1076,77.35,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
13,"
02.03.2008
",Камчатский край,Тигильская,3503,3670,12,2129,152,1377,164,2125,41,2248,109,27,15,82,1,0,0,0,0,30,1.31,224,9.79,212,9.26,1782,77.85,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
14,"
02.03.2008
",Камчатский край,Паланская городская,2465,2780,0,1712,68,1000,68,1632,26,1674,87,7,8,80,3,0,0,0,0,16,0.94,210,12.35,253,14.88,1195,70.29,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022250003&vrn=100100022176412&prver=0&pronetvd=null&region=91&sub_region=91&type=0&report_mode=null
15,"
02.03.2008
",Орловская область,Болховская,15279,14049,0,10708,2511,830,2511,10708,104,13115,216,139,82,77,1,0,0,0,0,62,0.47,664,5.02,2230,16.87,10159,76.85,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
16,"
02.03.2008
",Орловская область,Верховская,15957,15610,0,11532,1862,2216,1862,11532,158,13236,214,147,58,67,8,0,0,0,0,65,0.49,709,5.29,3541,26.44,8921,66.6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
17,"
02.03.2008
",Орловская область,Глазуновская,11300,11182,0,8148,2107,927,2107,8148,135,10120,149,113,68,36,1,0,0,0,0,52,0.51,725,7.07,1631,15.9,7712,75.2,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
18,"
02.03.2008
",Орловская область,Дмитровская,11189,10779,0,6446,1888,2445,1888,6444,57,8275,197,124,53,73,3,0,0,0,0,37,0.44,379,4.55,2195,26.34,5664,67.98,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
19,"
02.03.2008
",Орловская область,Должанская,9920,9619,0,5886,2495,1238,2495,5886,296,8085,238,199,61,39,15,0,0,0,0,46,0.55,673,8.03,1443,17.22,5923,70.67,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
20,"
02.03.2008
",Орловская область,Залегощенская,12204,11742,0,8251,2098,1393,2098,8250,145,10203,300,218,116,82,0,0,0,0,0,56,0.54,527,5.09,1988,19.21,7632,73.75,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
21,"
02.03.2008
",Орловская область,Знаменская,4554,4555,0,3323,820,412,820,3323,36,4107,168,94,43,74,0,0,0,0,0,5,0.12,131,3.16,480,11.59,3491,84.26,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
22,"
02.03.2008
",Орловская область,Колпнянская,13492,13231,0,9967,2591,673,2591,9967,68,12490,311,251,97,60,2,0,0,0,0,44,0.35,413,3.29,1059,8.43,10974,87.39,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
23,"
02.03.2008
",Орловская область,Корсаковская,3656,3845,0,2473,841,531,841,2473,10,3304,284,284,77,0,6,0,0,0,0,12,0.36,141,4.25,367,11.07,2784,84.01,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
24,"
02.03.2008
",Орловская область,Краснозоренская,6076,6108,0,4294,1508,306,1508,4274,286,5496,97,75,55,22,3,0,0,0,0,15,0.26,334,5.78,727,12.57,4420,76.44,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
25,"
02.03.2008
",Орловская область,Кромская,16690,16504,0,12276,2127,2101,2127,12276,184,14219,296,193,107,103,4,0,0,0,0,75,0.52,1122,7.79,2609,18.11,10413,72.3,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
26,"
02.03.2008
",Орловская область,Ливенская,25682,24455,0,17880,5072,1503,5072,17880,1158,21794,747,727,221,20,3,0,0,0,0,138,0.6,1445,6.3,3586,15.62,16625,72.43,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
27,"
02.03.2008
",Орловская область,Ливенская городская,41537,40870,0,28262,2446,10162,2446,28259,584,30121,710,545,317,165,44,0,0,0,0,344,1.12,2966,9.66,8933,29.09,17878,58.23,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
28,"
02.03.2008
",Орловская область,Малоархангельская,10092,10104,0,6307,2767,1030,2767,6306,413,8660,206,132,56,74,5,0,0,0,0,46,0.51,538,5.93,1078,11.88,6998,77.13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
29,"
02.03.2008
",Орловская область,Мценская,13890,14722,0,9620,3591,1511,3591,9620,181,13030,1275,1272,319,3,26,0,0,0,0,84,0.64,565,4.28,1373,10.39,11008,83.32,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
30,"
02.03.2008
",Орловская область,Мценская городская,37491,37461,0,23814,2077,11570,2077,23803,340,25540,713,713,519,0,28,0,0,0,0,302,1.17,2972,11.48,6929,26.77,15337,59.26,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
31,"
02.03.2008
",Орловская область,Новодеревеньковская,9544,9409,0,6387,1460,1562,1460,6387,244,7603,199,127,84,72,1,0,0,0,0,46,0.59,653,8.32,1571,20.02,5333,67.96,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
32,"
02.03.2008
",Орловская область,Новосильская,7261,7371,0,5043,1474,854,1474,5043,78,6439,298,255,69,43,2,0,0,0,0,28,0.43,219,3.36,846,12.98,5346,82.03,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
33,"
02.03.2008
",Орловская область,"Орел, Железнодорожная",55877,53050,0,32725,2906,17419,2906,32707,464,35149,1065,754,628,311,35,0,0,0,0,515,1.45,3521,9.89,10244,28.76,20869,58.6,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
34,"
02.03.2008
",Орловская область,"Орел, Заводская",90069,85200,0,54471,2288,28441,2288,54414,730,55972,1762,1364,1369,398,93,0,0,0,0,863,1.52,5797,10.22,16646,29.36,32666,57.61,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
35,"
02.03.2008
",Орловская область,"Орел, Советская",73444,67789,0,48073,1837,17879,1837,48010,786,49061,1738,1116,2025,622,59,0,0,0,0,754,1.51,5008,10.05,14517,29.12,28782,57.74,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
36,"
02.03.2008
",Орловская область,Орловская,49254,49540,0,31913,6771,10856,6771,31911,503,38179,1061,743,384,318,62,0,0,0,0,320,0.83,3467,8.96,8802,22.75,25590,66.15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
37,"
02.03.2008
",Орловская область,Покровская,12719,12478,0,8075,3369,1034,3369,8075,249,11195,299,260,109,39,1,0,0,0,0,62,0.54,992,8.67,2400,20.97,7741,67.64,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
38,"
02.03.2008
",Орловская область,Свердловская,13439,13155,0,9102,2847,1206,2847,9092,194,11745,470,394,242,76,27,0,0,0,0,68,0.57,947,7.93,1989,16.66,8741,73.21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
39,"
02.03.2008
",Орловская область,Сосковская,5917,5955,0,3585,1413,957,1413,3585,89,4909,97,69,58,28,2,0,0,0,0,21,0.42,257,5.14,758,15.17,3873,77.49,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
40,"
02.03.2008
",Орловская область,Троснянская,8795,8764,0,6218,2096,450,2096,6216,359,7953,185,97,82,88,14,0,0,0,0,22,0.26,233,2.8,819,9.85,6879,82.76,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
41,"
02.03.2008
",Орловская область,Урицкая,14591,14544,0,10174,2662,1708,2662,10174,184,12652,297,189,81,108,3,0,0,0,0,86,0.67,772,6.01,1760,13.71,10034,78.17,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
42,"
02.03.2008
",Орловская область,Хотынецкая,8499,8277,0,5363,1807,1107,1807,5363,135,7035,100,61,28,39,0,0,0,0,0,42,0.59,396,5.52,1360,18.97,5237,73.04,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
43,"
02.03.2008
",Орловская область,Шаблыкинская,6583,7274,0,4819,1165,1290,1165,4819,141,5843,579,574,53,5,6,0,0,0,0,29,0.48,260,4.34,806,13.47,4748,79.34,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
44,"
02.03.2008
",Орловская область,"Орел, Северная ",55793,54842,0,33883,1664,19295,1664,33865,618,34911,1062,792,548,270,30,0,0,0,0,451,1.27,3788,10.66,10983,30.91,19689,55.42,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249996&vrn=100100022176412&prver=0&pronetvd=null&region=57&sub_region=57&type=0&report_mode=null
45,"
02.03.2008
",Республика Марий Эл,Волжская городская,42744,43300,0,32236,2795,8269,2795,32236,610,34421,923,795,488,128,48,0,0,0,0,384,1.1,2343,6.69,8007,22.86,23687,67.62,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
46,"
02.03.2008
",Республика Марий Эл,Звениговская,32334,34750,0,24398,4203,6149,4203,24398,163,28438,1064,969,620,95,69,0,0,0,0,105,0.37,704,2.46,3550,12.41,24079,84.19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
47,"
02.03.2008
",Республика Марий Эл,Йошкар-Олинская городская № 1,99279,104910,0,70482,2498,31930,2498,70456,1164,71790,2154,1783,2943,371,95,0,0,0,0,1364,1.87,8361,11.46,16704,22.9,45361,62.18,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
48,"
02.03.2008
",Республика Марий Эл,Килемарская ,9224,10720,0,6821,2008,1891,2008,6821,47,8782,773,718,248,55,12,0,0,0,0,29,0.33,239,2.71,277,3.14,8237,93.29,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
49,"
02.03.2008
",Республика Марий Эл,Козьмодемьянская городская,16199,16150,0,12382,1885,1883,1885,12381,201,14065,531,511,455,20,67,0,0,0,0,92,0.64,547,3.83,1421,9.96,12005,84.15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
50,"
02.03.2008
",Республика Марий Эл,Куженерская,10441,13120,0,7369,2039,3712,2039,7369,279,9129,1707,1707,293,0,93,0,0,0,0,51,0.54,206,2.19,800,8.5,8072,85.8,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
51,"
02.03.2008
",Республика Марий Эл,Мари-Турекская,18202,19020,0,13262,3087,2671,3087,13262,29,16320,1456,1456,284,0,44,0,0,0,0,51,0.31,305,1.87,818,5.0,15146,92.64,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
52,"
02.03.2008
",Республика Марий Эл,Медведевская,46082,45210,351,36889,4620,3350,4971,36887,154,41704,2396,2283,1862,113,72,0,0,0,0,205,0.49,2341,5.59,4173,9.97,34985,83.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
53,"
02.03.2008
",Республика Марий Эл,Моркинская,24099,25400,0,18756,3004,3640,3004,18756,212,21548,1919,1919,356,0,81,0,0,0,0,86,0.4,881,4.05,3100,14.25,17481,80.34,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
54,"
02.03.2008
",Республика Марий Эл,Новоторъяльская,10926,12750,0,7818,2165,2767,2165,7818,69,9914,1080,1072,222,8,70,0,0,0,0,46,0.46,539,5.4,1339,13.41,7990,80.04,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
55,"
02.03.2008
",Республика Марий Эл,Оршанская,10835,10850,0,8596,1251,1003,1251,8596,64,9783,1046,1016,307,30,66,0,0,0,0,79,0.8,271,2.75,546,5.54,8887,90.25,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
56,"
02.03.2008
",Республика Марий Эл,Параньгинская,11476,12630,0,9007,1683,1940,1683,9007,13,10677,1561,1499,265,62,39,0,0,0,0,20,0.19,90,0.84,559,5.23,10008,93.62,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
57,"
02.03.2008
",Республика Марий Эл,Сернурская ,17413,18730,0,13009,2696,3025,2696,13009,47,15658,1478,1436,365,42,22,0,0,0,0,53,0.34,336,2.14,1419,9.04,13850,88.19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
58,"
02.03.2008
",Республика Марий Эл,Советская,21276,24500,0,17097,2456,4947,2456,17097,59,19494,1475,1451,597,24,25,0,0,0,0,53,0.27,428,2.19,1085,5.55,17928,91.69,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
59,"
02.03.2008
",Республика Марий Эл,Юринская ,7048,7715,0,5023,1450,1242,1450,5023,14,6459,417,384,118,33,41,0,0,0,0,12,0.19,36,0.56,261,4.03,6150,95.01,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
60,"
02.03.2008
",Республика Марий Эл,Волжская,17628,19030,0,14829,2112,2089,2112,14829,137,16804,1430,1430,729,0,23,0,0,0,0,54,0.32,254,1.5,765,4.52,15731,92.86,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
61,"
02.03.2008
",Республика Марий Эл,Горномарийская,18189,21350,0,11944,5383,4023,5383,11944,474,16853,974,884,333,90,33,0,0,0,0,83,0.48,565,3.26,1487,8.58,14718,84.94,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
62,"
02.03.2008
",Республика Марий Эл,Йошкар-Олинская городская № 2,97382,101050,0,67795,3027,30228,3027,67784,1100,69711,1886,1615,3498,271,71,0,0,0,0,1386,1.96,8197,11.58,15186,21.45,44942,63.47,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022249953&vrn=100100022176412&prver=0&pronetvd=null&region=12&sub_region=12&type=0&report_mode=null
63,"
02.03.2008
",Забайкальский край,Акшинская,8709,7160,0,5714,781,665,781,5714,80,6415,389,314,123,75,11,0,0,0,0,37,0.57,901,13.87,1377,21.2,4100,63.13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
64,"
02.03.2008
",Забайкальский край,Александрово-Заводская,7107,6860,0,4946,590,1324,590,4946,42,5494,396,187,68,209,2,0,0,0,0,36,0.65,875,15.81,964,17.41,3619,65.37,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
65,"
02.03.2008
",Забайкальский край,Балейская,6332,6311,0,5184,479,648,479,5184,78,5585,298,57,26,241,2,0,0,0,0,30,0.53,935,16.51,1021,18.03,3599,63.55,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
66,"
02.03.2008
",Забайкальский край,Балейская городская,10586,10476,0,6672,480,3324,480,6672,70,7082,382,98,25,284,18,0,0,0,0,54,0.76,1162,16.25,1381,19.31,4485,62.71,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
67,"
02.03.2008
",Забайкальский край,Борзинская,38708,37725,0,22392,1994,13339,1994,22392,239,24147,637,429,286,208,63,0,0,0,0,160,0.66,3697,15.16,3635,14.91,16655,68.3,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
68,"
02.03.2008
",Забайкальский край,Газимуро-Заводская,7053,6342,0,5267,484,591,484,5267,40,5711,288,107,98,181,11,0,0,0,0,45,0.78,749,13.02,878,15.27,4039,70.23,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
69,"
02.03.2008
",Забайкальский край,Забайкальская,15285,14258,0,8801,888,4569,888,8801,83,9606,353,326,464,27,46,0,0,0,0,92,0.95,1401,14.46,1331,13.74,6782,69.99,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
70,"
02.03.2008
",Забайкальский край,Каларская,7066,6973,74,4035,81,2783,155,4035,53,4137,292,76,41,216,8,0,0,0,0,60,1.43,677,16.16,687,16.4,2713,64.75,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
71,"
02.03.2008
",Забайкальский край,Калганская,6867,6895,0,4228,768,1899,768,4228,60,4936,290,121,24,169,10,0,0,0,0,26,0.52,870,17.41,937,18.76,3103,62.11,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100022274336&vrn=100100022176412&prver=0&pronetvd=null&region=92&sub_region=92&type=0&report_mode=null
